null,name,단맛,신맛,청량감,바디감,도수%,탄산,주종,용량,가격,제조사,원재료,index,sex
,솔송주,2,1,,3,13,0,"약주,청주",375ml,7000,명가원영농조합법인,"정제수,백미,국내산송순농축액,누룩,조제종국,효모",270,5
,송명섭막걸리,1,3,3,3,6,0,탁주,900ml,3000,태인합동주조,"국내산쌀,곡자,정제수",271,5
,송이주,1,4,1,2,13,0,"약주,청주",375ml,12000,내국양조,"국내산쌀,송이농충액,누룩,정제수",272,5
,송화백일주,,,3,3,38,0,기타주류,500ml,45000,송화양조사,"쌀,찹쌀,누룩,산수유,오미자,구기자,솔잎,송화가루,꿀",273,5
,순향주,2,2,2,2,15,0,"약주,청주",375ml,18666,(주)농업회사법인추연당,"국내산쌀,누룩,정제수",274,5
,술공방9,3,2,1,3,9,1,탁주,500ml,5000,두이술공방,"쌀,밀누룩,국,효모,효소,올리고당",275,5
,술그리다생탁주,2,1,1,1,10,0,탁주,500ml,9000,농업회사법인(주)좋은술,"국내산쌀,누룩",276,5
,술샘이화주,4,1,0,1,8,0,탁주,100ml,6500,술샘,"쌀,누룩,정제수",277,5
,술아국화주,4,3,2,4,15,0,"약주,청주",375ml,18000,농업회사법인(주)술아원,"국내산찹쌀,누룩,건조국화꽃,증류주,정제수",278,5
,술아막걸리,3,4,3,4,8,0,탁주,450ml,7000,농업회사법인(주)술아원,"국내산찹쌀,누룩,정제수",279,5
,술아매화주,5,3,2,4,15,0,"약주,청주",375ml,18000,농업회사법인(주)술아원,"국내산찹쌀,누룩,건조매화꽃,증류주,정제수",280,5
,술아순곡주,5,3,2,5,20,0,"약주,청주",375ml,18000,농업회사법인(주)술아원,"국내산찹쌀,누룩,증류주,정제수",281,5
,술아연화주,5,3,2,4,15,0,"약주,청주",375ml,18000,농업회사법인(주)술아원,"국내산찹쌀,누룩,건조연화꽃,증류주,정제수",282,5
,술예쁘다생탁주,1,3,1,2,13,0,탁주,500ml,18000,농업회사법인(주)좋은술,"국내산쌀,누룩",283,5
,술취한원숭이,4,2,2,2,10.8,0,탁주,375ml,7000,술샘,"쌀,누룩,홍국,정제수",284,5
,술헤는밤,2,4,2,3,8,0,탁주,750ml,5900,농업회사법인두루(주),"국내산쌀,누룩,정제수",285,5
,스타베리오디와인,3,4,3,3,12,0,과실주,500ml,28000,(주)한국와인,양조용포도,286,5
,시나브로드글로리아,3,3,2,2,12,0,과실주,750ml,25000,불휘농장,포도,287,5
,시나브로레드드라이,2,3,3,3,12,0,과실주,750ml,25000,불휘농장,포도,288,5
,시나브로레드스위트,3,3,3,2,12,0,과실주,750ml,25000,불휘농장,포도,289,5
,시나브로로제와인,3,3,3,3,10,0,과실주,500ml,30000,불휘농장,포도,290,5
,시나브로에뚜왈로제스파클링와인,2,3,4,2,5,1,과실주,750ml,30000,불휘농장,포도,291,5
,시나브로에뚜왈스파클링,3,3,4,2,5,1,과실주,750ml,30000,불휘농장,포도,292,5
,시나브로화이트와인,4,4,4,3,11,0,과실주,500ml,30000,불휘농장,청포도,293,5
,시인의마을우리쌀막걸리,2,3,3,4,10,0,탁주,700ml,7900,이원양조장,"쌀,누룩,정제수,무감미료",294,5
,신례명주,,,4,4,50,0,증류주,750ml,99000,농업회사법인(주)시트러스,"감귤,감귤증류주",295,5
,신선주,3,3,2,4,16,0,"약주,청주",750ml,19000,용두산조은술,"쌀,능금,신선초,천궁,구기자,당귀솔잎,대추,인삼",296,5
,신선주백주,2,3,1,3,10,0,탁주,500ml,15000,농업회사법인(주)신선,"청원생명쌀,정제수,찹쌀,전통누룩,약재,숙지황,생지황)",297,5
,신선주약주,3,3,3,3,16,0,"약주,청주",500ml,25000,농업회사법인(주)신선,"찹쌀,전통누룩,약재,숙지황,생지황)",298,5
,신선주증류주,,4,,3,42,0,증류주,375ml,60000,농업회사법인(주)신선,"찹쌀,전통누룩,약재,숙지황,생지황)",299,5
,심플리애플,4,,,1,12,0,기타주류,350ml,9000,주식회사배혜정농업회사법인,"쌀,사과즙,벌꿀",300,5
,아이싱,3,1,1,3,4,0,탁주,300ml,1300,국순당,"쌀,자몽엑기스",301,5
,아이원막걸리,3,3,3,2,6,0,탁주,750ml,1000,이원양조장,"쌀,밀,입국,누룩,정제수",302,5
,아황주,1,3,1,3,17,0,"약주,청주",500ml,23000,최행숙전통주가,"찹쌀,멥쌀,누룩,정제수",303,5
,안동소주느낌19.8,,,,2,19.8,0,증류주,360ml,4000,농업회사법인명품안동소주(주),"백미,누룩,효모,정제수",304,5
,안동소주느낌30,,,,3,30,0,증류주,360ml,6500,농업회사법인명품안동소주(주),"백미,누룩,효모,정제수",305,5
,안동소주일품17,3,,,2,17,0,증류주,350ml,4000,안동소주일품,"국내산쌀,입국",306,5
,안동소주일품21,3,,,2,21,0,증류주,350ml,4500,안동소주일품,"국내산쌀,입국",307,5
,안동소주일품골드,3,,,3,40,0,증류주,500ml,18000,안동소주일품,"국내산쌀,입국",308,5
,안동소주필Feel,,,,3,40,0,증류주,500ml,25000,농업회사법인명품안동소주(주),"백미,누룩,효모,정제수",309,5
,안성맞춤생막걸리,3,2,3,2,6,0,탁주,"1,000ml",2000,한주양조,"국내산쌀,누룩,효모,젖산,정제효소,정제수",310,5
,안양동동주,3,3,3,3,6,0,탁주,800ml,1100,안양주조장,"쌀,찹쌀,전통누룩,정제수",311,5
,애석,4,1,3,3,15,0,"약주,청주",500ml,30000,농업회사법인두루(주),"국내산쌀,누룩,정제수",312,5
,애피소드상그리아,4,4,4,2,3.5,1,과실주,500ml,3500,(주)한국애플리즈,"포도와인,정제주정,정제수,포도농축액,고과당",313,5
,애피소드애플,4,4,4,2,3.5,1,과실주,500ml,3500,(주)한국애플리즈,"사과와인,정제주정,정제수,사과농축액,고과당",314,5
,애피소드호프,4,4,4,2,3.5,0,기타주류,500ml,3500,(주)한국애플리즈,"사과과즙,보리,쌀,홉",315,5
,야관문막걸리,1,3,2,1,6,0,탁주,750ml,1500,지리산그린영농조합운봉주조,"쌀,종국,정제수,누룩,효모,야관문",316,5
,양촌생동동주,2,3,2,2,10,0,탁주,750ml,2400,양촌양조,"정제수,백미,효소제,효모등",317,5
,양촌생막걸리,2,2,3,2,6,0,탁주,750ml,1500,양촌양조,"팽화미,소맥분,정제수,물엿,효소,국등",318,5
,어우야,,,,2,16,0,기타주류,365ml,9900,왕지케양조장(제주본초협동조합),"야관문,정제수,,효모",319,5
,여강,,,,3,25,0,증류주,375ml,20000,(주)농업회사법인추연당,"국내산쌀,누룩,정제수",320,5
,여포의꿈레드드라이,2,2,,2,12,0,과실주,750ml,20000,여포와인농장,국내산포도,321,5
,여포의꿈레드스위트,4,1,,3,12,1,과실주,750ml,20000,여포와인농장,국내산포도,322,5
,여포의꿈화이트,1,2,,2,12,0,과실주,375ml,20000,여포와인농장,국내산포도,323,5
